X,Y,id,nnl2016222
-49.552065608121204,68.747464516925035,1,
-49.551367202714381,68.747671548285467,1,
-49.550864380968548,68.747880249924847,1,
-49.550314661199678,68.748104634925937,0,
-49.54976291974544,68.748312914827295,0,
-49.549361331994767,68.748469228238179,0,
-49.548809572613408,68.748677505003229,0,
-49.548208901618196,68.748885360924504,0,
-49.547709489388616,68.749040832282034,0,
-49.547256660457478,68.749232202003256,0,
-49.546999433584617,68.749425248158019,0,
-49.546543121399807,68.749669836730092,0,
-49.54604136626552,68.749860783633892,0,
-49.545399835420007,68.749944028053889,0,
-49.544907326561592,68.749993049589307,0,
-49.544415973714806,68.75002432944946,0,
-49.54387339853276,68.750090668073327,0,
-49.543233012166183,68.750156164033015,0,
-49.542686951639269,68.750275719539459,0,
-49.542088500673927,68.750448073143772,0,
-49.541540105916347,68.750603105374623,0,
-49.540841504631693,68.750810093016568,0,
-49.540189473022473,68.751052979529575,0,
-49.539932163911587,68.751246014807393,0,
-49.539330178755208,68.751471579194714,0,
-49.53863152975579,68.751678557642848,0,
-49.538080754101991,68.751869058967031,,
-49.537676693149535,68.752060824800125,0,
-49.537019933739742,68.752374659717859,,
-49.536465633192407,68.752618376266284,,
-49.536113949196135,68.752757340232705,,
-49.535762260814572,68.75289630346137,,
-49.535460643644718,68.7530179485221,,
-49.535061202483519,68.753138747384654,,
-49.534706003272213,68.753330928877645,,
-49.534348465163291,68.753558589921667,,
-49.534181900606093,68.753858903300682,,
-49.534116656467894,68.75410684231224,,
-49.534097990581522,68.75439068471951,,
-49.534037410682267,68.754567663083748,,
-49.534022243507927,68.754798285019746,,
-49.533854498260503,68.755116338164044,,
-49.533740331462056,68.755363853781844,,
-49.533579580601796,68.75557546575557,,
-49.533170743720653,68.755838181194406,,
-49.532914485970302,68.756013465418221,,
-49.532605803405481,68.75624154609811,,
-49.532300619073872,68.756416405807101,,
-49.531744997500816,68.756677846732572,,
-49.531288369111358,68.756922393600746,,
-49.530834069485053,68.757131458982002,,
-49.53033318148163,68.75730461868973,,
-49.529683185781117,68.757511983968001,,
-49.529182280290762,68.757685140244121,,
-49.528578840956783,68.757928406001156,,
-49.528077917529664,68.758101558981863,,
-49.527477971284036,68.758291600497358,,
-49.526728903658331,68.758515844318737,,
-49.526176683941749,68.758724046526794,,
-49.525722299616248,68.758933098051983,,
-49.525025638537969,68.759104539605715,,
-49.524519962882039,68.759348642245271,,
-49.524020150976803,68.759504043059721,,
