X,Y,id,NNL2019810,XCOORD,YCOORD
-49.548995695714915,68.754028778013804,0,,-49.548996,68.754029
-49.547924753814357,68.754109790021971,0,,-49.547925,68.754110
-49.546994975231165,68.754204889424344,0,,-49.546995,68.754205
-49.546136194263241,68.754300592919307,0,,-49.546136,68.754301
-49.545346731174483,68.75442265447623,0,,-49.545347,68.754423
-49.544737296990327,68.754507607558352,0,,-49.544737,68.754508
-49.544269870927891,68.754593778447585,0,,-49.544270,68.754594
-49.543591945297706,68.75463948809869,0,,-49.543592,68.754639
-49.543056871794704,68.754673539626509,0,,-49.543057,68.754674
-49.542558983833061,68.754682141955755,0,,-49.542559,68.754682
-49.54198840441218,68.754715884757942,0,,-49.541988,68.754716
-49.541452484126204,68.754762807638983,0,,-49.541452,68.754763
-49.540952065080667,68.754810034507827,0,,-49.540952,68.754810
-49.540450800796194,68.754870136311865,0,,-49.540451,68.754870
-49.539843022856658,68.754929318919608,0,,-49.539843,68.754929
-49.539272433086069,68.754963052563653,0,,-49.539272,68.754963
-49.538700997458193,68.755009660689907,0,,-49.538701,68.755010
-49.538129559459101,68.755056266886129,0,,-49.538130,68.755056
-49.537453297160425,68.755076199142223,0,,-49.537453,68.755076
-49.536847196198586,68.755109618192165,0,,-49.536847,68.755110
-49.536240247864008,68.755155911463291,0,,-49.536240,68.755156
-49.53559779300835,68.755201895756812,0,,-49.535598,68.755202
-49.53502295855715,68.755299997010241,0,,-49.535023,68.755300
-49.534485316579534,68.755372650586565,0,,-49.534485,68.755373
-49.53391216673073,68.755444995298092,0,,-49.533912,68.755445
-49.533338165909782,68.755530214439901,0,,-49.533338,68.755530
-49.532836865112394,68.755590293671617,0,,-49.532837,68.755590
-49.532264552262347,68.755649756424958,0,,-49.532265,68.755650
-49.531727741143797,68.755709524860919,0,,-49.531728,68.755710
-49.531191775681826,68.755756415231275,0,,-49.531192,68.755756
-49.530797827588657,68.755804535206494,0,,-49.530798,68.755805
-49.530436835899032,68.755891591223332,0,,-49.530437,68.755892
-49.529861961097289,68.755989674911461,0,,-49.529862,68.755990
-49.529323436196243,68.756075188416219,0,,-49.529323,68.756075
-49.528822112428145,68.756135255739281,0,,-49.528822,68.756135
-49.528425602164738,68.756221999222689,0,,-49.528426,68.756222
-49.527996134325988,68.7562698043522,0,,-49.527996,68.756270
-49.527564112737558,68.756356237409008,0,,-49.527564,68.756356
-49.527131236911934,68.756455545696085,0,,-49.527131,68.756456
-49.526667958203959,68.756477286193089,0,,-49.526668,68.756477
-49.526199569992407,68.756576283409828,0,,-49.526200,68.756576
-49.525733732764749,68.756636650340639,0,,-49.525734,68.756637
-49.525266189059074,68.756722768638511,0,,-49.525266,68.756723
-49.524835852631803,68.75678344206105,0,,-49.524836,68.756783
-49.524407218842249,68.756818361746767,0,,-49.524407,68.756818
-49.523943077254962,68.756852971101509,0,,-49.523943,68.756853
-49.523617548520924,68.756940321770941,0,,-49.523618,68.756940
-49.523258216821056,68.757001609794756,0,,-49.523258,68.757002
-49.522862522981974,68.757075463893145,0,,-49.522863,68.757075
-49.522503187039987,68.757136750309797,0,,-49.522503,68.757137
-49.522143849128028,68.757198035961579,0,,-49.522144,68.757198
-49.521677133938162,68.757271268013525,0,,-49.521677,68.757271
-49.521139401286696,68.757343879116391,0,,-49.521139,68.757344
-49.520707332429588,68.757430294622282,0,,-49.520707,68.757430
-49.520241462610151,68.757490646408996,0,,-49.520241,68.757491
-49.519776445470718,68.757538120619046,0,,-49.519776,68.757538
-49.519345223035749,68.757611656346981,0,,-49.519345,68.757612
-49.51895036114896,68.757672624986256,0,,-49.518950,68.757673
-49.518591860775032,68.757721026792552,0,,-49.518592,68.757721
-49.518125979202154,68.757781372747246,0,,-49.518126,68.757781
-49.517696459463188,68.757829151701003,0,,-49.517696,68.757829
-49.517337097257233,68.75789042712519,0,,-49.517337,68.757890
-49.516905003141467,68.757976832899615,0,,-49.516905,68.757977
-49.516581144625981,68.758038417435813,0,,-49.516581,68.758038
-49.516187124960965,68.75808650334227,0,,-49.516187,68.758087
-49.515688293639826,68.758107902885484,0,,-49.515688,68.758108
-49.515153953018668,68.758128989870627,0,,-49.515154,68.758129
-49.514620469599507,68.758137198908443,0,,-49.514620,68.758137
-49.514191794017329,68.758172092699198,0,,-49.514192,68.758172
-49.513763975796856,68.758194109147482,0,,-49.513764,68.758194
-49.513337874621882,68.758190372006922,0,,-49.513338,68.758190
-49.512839038324785,68.758211763158144,0,,-49.512839,68.758212
-49.51230555214552,68.75821996490636,0,,-49.512306,68.758220
-49.511843082512414,68.758228788562235,0,,-49.511843,68.758229
-49.511345964149385,68.758224422826771,0,,-49.511346,68.758224
-49.510813337564315,68.758219743635493,0,,-49.510813,68.758220
-49.510209694392053,68.758214438529151,0,,-49.510210,68.758214
-49.509711715683153,68.758222944236948,0,,-49.509712,68.758223
-49.509177366841655,68.758244012370156,0,,-49.509177,68.758244
-49.508644740313024,68.758239326364617,0,,-49.508645,68.758239
-49.508182268930753,68.758248140029991,0,,-49.508182,68.758248
-49.507791676223896,68.758244701496622,0,,-49.507792,68.758245
-49.507223541608965,68.758239698387143,0,,-49.507224,68.758240
-49.506690915656648,68.758235006242884,0,,-49.506691,68.758235
-49.506229306693086,68.758230938364321,0,,-49.506229,68.758231
-49.505731326216051,68.758239432375817,0,,-49.505731,68.758239
-49.505267990157662,68.758261114297468,0,,-49.505268,68.758261
-49.504733636343836,68.75828216841532,0,,-49.504734,68.758282
-49.504128264625294,68.758302594057454,0,,-49.504128,68.758303
-49.503699569708786,68.758337461286246,0,,-49.503700,68.758337
-49.503166077454729,68.758345634260948,0,,-49.503166,68.758346
-49.502666363118344,68.758379871650476,0,,-49.502666,68.758380
-49.50220388662305,68.758388668997469,0,,-49.502204,68.758389
