X,Y,id,XCOORD,YCOORD
-183680.048153245821595,-2319678.68349968874827,0,-183680.048153,-2319678.683500
-183645.206403954245616,-2319667.680842017754912,0,-183645.206404,-2319667.680842
-183614.032207219657721,-2319656.678184346761554,0,-183614.032207,-2319656.678184
-183584.691786763607524,-2319647.509302954189479,0,-183584.691787,-2319647.509303
-183560.852695143024903,-2319638.340421561617404,0,-183560.852695,-2319638.340422
-183531.512274686974706,-2319627.337763890624046,0,-183531.512275,-2319627.337764
-183496.670525395369623,-2319623.670211333781481,0,-183496.670525,-2319623.670211
-183472.831433774816105,-2319616.335106219630688,0,-183472.831434,-2319616.335106
-183445.324789597245399,-2319607.166224827058613,0,-183445.324790,-2319607.166225
-183414.150592862686608,-2319596.163567156065255,0,-183414.150593,-2319596.163567
-183386.643948685115902,-2319581.493356928229332,0,-183386.643949,-2319581.493357
-183364.638633343041874,-2319564.989370421506464,0,-183364.638633,-2319564.989370
-183338.965765443979762,-2319550.319160193670541,0,-183338.965765,-2319550.319160
-183311.459121266409056,-2319542.984055079519749,0,-183311.459121,-2319542.984055
-183296.78891103839851,-2319522.812516015954316,0,-183296.788911,-2319522.812516
-183271.116043139336398,-2319513.643634623382241,0,-183271.116043,-2319513.643635
-183243.609398961765692,-2319513.643634623382241,0,-183243.609399,-2319513.643635
-183225.271636176708853,-2319515.477410902269185,0,-183225.271636,-2319515.477411
-183203.266320834663929,-2319524.646292294375598,0,-183203.266321,-2319524.646292
